7313030,6250566,17765832,7275288,91033101,5665418,6342020,17110572,25193051,13704170,0,6006236,151756370,27416186,11213603,15608369,17445518,31110147,1989720,32717979,3604443,15748785,10173911,5974794,9602676,2527940,13694994,27036458,14830155,47486597,6239952,33193338,6109059,6082845,12017180,23544663,44835512,19125863,7025477,1138350,236155884,19236068,15142389,12597855,50732846,28208868,2594180,11733518,15388562,24424523,5005616,52333442,6196355,46841232,6159393,32389451,21796530,6896391,15503168,32083614,6700422,11685200,9464024,8078994,33466251,7749317,42688481,118789265,16406573,9268479,52016594,20516729
1825658,1579988,4480191,1879013,22584750,1445003,1610094,4234961,6356273,3459810,6006236,0,39756164,7239680,3013920,4163358,4676210,8190126,538305,8652770,967746,4150259,2659287,1580004,2580365,682623,3762690,7150706,4047849,12435348,1645101,8691767,1630971,1608252,3240557,6193119,11890092,5181135,1900244,294846,61131675,5182062,4066427,3357594,13249923,7459389,691535,3070553,4100000,6496863,1338137,13642556,1651104,12291984,1661498,8646501,5792235,1856685,4148483,8393484,1776339,3135198,2496903,2159120,8862404,2103519,11282948,31239917,4340243,2481786,13710747,5370842
43904447,39441635,111069417,49824042,532705937,37014863,40703148,99141830,157805295,86057328,151756370,39756164,0,203305340,88323155,119828837,136166483,228250133,16016622,243900302,28288956,115957419,72772464,44528021,75577881,20222402,115879914,201595812,122868471,341932226,46012397,238953711,47042328,45301418,95695838,172224428,337429194,154619231,56508746,7878186,1630890986,152678169,118930401,96447939,361829363,210200681,19873539,84281675,117678450,185739798,38717448,370758507,47403888,339795240,49103024,249344003,165207690,54624167,120312080,230211384,50371098,91501641,69963033,62429306,250627994,63064380,317573279,868325876,122429517,72088512,383276717,147547949
8093055,7160250,20220186,8830821,98990142,6650456,7351821,18481181,28711778,15645707,27416186,7239680,203305340,0,15073304,20586372,23292719,39689105,2718302,42229095,4832252,20143826,12742062,7710165,12900680,3437531,19424996,34902186,20703243,59761026,7989969,41765810,8075411,7845558,16285803,29971536,58274703,26213198,9592416,1392182,288373685,26005053,20311557,16581651,63405273,36398292,3416150,14740199,20237753,31989458,6638624,65090324,8151404,59267198,8354148,42806117,28478108,9308829,20611346,40273910,8701752,15639240,12140673,10707023,43340696,10673760,55015151,151139324,21191772,12342747,66568653,25796481
3458630,2960628,8412500,3455153,43020953,2686427,3005546,8083910,11930153,6490107,11213603,3013920,88323155,15073304,0,7442918,8324193,14810246,950540,15584679,1720236,7498302,4838999,2845970,4583418,1207365,6555632,12878493,7092902,22591265,2971122,15791256,2913464,2897363,5738481,11207421,21364146,9138456,3356145,540813,112186070,9184491,7226978,6006713,24127503,13436637,1236947,5581619,7337019,11642795,2387624,24882900,2954369,22290108,2941380,15446646,10388790,3292500,7395771,15261558,3192624,5576328,4506660,3853451,15943794,3703646,20332439,56543114,7815297,4421894,24766769,9760193
4724801,4101696,11623950,4903593,58357820,3759551,4184334,10936350,16493463,8979047,15608369,4163358,119828837,20586372,7442918,0,12310211,21470772,1420100,22707818,2548568,10882668,6959679,4146398,6796724,1800048,9960792,18766199,10699932,32559177,4314156,22757076,4289613,4220330,8542542,16232273,31223648,13672359,5012751,769977,159620313,13657524,10709513,8827326,34670001,19575444,1818165,8038250,10778318,17072894,3520494,35681630,4340640,32199659,4380264,22740717,15217823,4892670,10916678,21971348,4664357,8255294,6549050,5680041,23265156,5553465,29606217,81876636,11391054,6531783,35953619,14061179
5345078,4598300,13053554,5413011,66321122,4187496,4676216,12450395,18515442,10075142,17445518,4676210,136166483,23292719,8324193,12310211,0,23382950,1517553,24651317,2737818,11843462,7617804,4501517,7297188,1926083,10532771,20371346,11365154,35591244,4693649,24877527,4626200,4582430,9149319,17688530,33830945,14597519,5357621,848243,175917770,14637620,11503029,9531243,37970262,21252599,1962894,8791068,11640531,18459569,3793271,39129563,4687476,35146553,4690317,24526451,16464881,5246028,11754534,24034107,5054981,8872467,7121522,6121352,25232967,5921021,32153424,89234244,12363447,7029876,39122091,15374432
9113174,8109848,22877253,10094907,111128244,7562477,8343068,20722694,32491908,17710752,31110147,8190126,228250133,39689105,14810246,21470772,23382950,0,3160943,48718176,5604684,23208791,14635392,8894690,14967156,3994767,22700325,40266422,24143955,68690075,9207120,48004886,9347934,9050211,18917072,34507736,67296750,30494858,11153541,1593309,329957501,30196547,23560119,19183055,72803696,41989581,3952355,16938104,23409956,36982248,7688277,74684438,9429513,68176682,9705002,49550097,32911503,10806953,23878430,46273842,10047783,18134943,13993875,12398711,50024802,12425474,63455225,174001626,24450806,14302467,76703327,29646806
623595,527462,1502180,602619,7802478,474426,533202,1469400,2129312,1157649,1989720,538305,16016622,2718302,950540,1420100,1517553,3160943,0,2652755,288146,1281074,833766,484467,767042,200984,1070544,2191959,1166840,3885038,507389,2715827,490980,493320,956687,1918500,3626000,1515920,557670,94053,19521714,1532837,1210259,1014101,4160672,2287407,208790,960555,1239137,1969740,401801,4299123,498894,3824985,490193,2603315,1759383,549869,1243289,2627208,542048,934737,769035,648674,2710103,613008,3463046,9681069,1329875,742829,4230441,1679076
9694854,8552831,24165594,10499733,118759962,7928190,8773172,22185027,34310315,18693777,32717979,8652770,243900302,42229095,15584679,22707818,24651317,48718176,2652755,0,5703297,23855898,15113892,9125030,15223857,4053116,22837490,41305826,24366504,70859322,9461592,49522853,9540633,9285618,19206791,35507235,68932298,30890471,11306988,1654323,342713405,30674546,23971920,19596296,75219612,43077938,4037090,17479953,23918555,37818849,7841303,77246906,9633753,70245449,9851964,50573702,33673566,10981518,24341111,47762375,10293786,18460518,14374827,12647393,51280599,12573983,65117039,179061161,25078866,14574536,78832692,30589266
