Tract index,P_i
1,0.9992515985916025
2,0.9407416765453814
3,0.979614555365095
4,0.9943126544696032
5,0.9630736636377533
6,0.9997391074458948
7,0.9748554960479417
8,0.9515229683101828
9,0.9460818397273704
10,0.9538683055585192
11,0.9620629733323817
12,0.9999435362663462
13,0.9699233625785134
14,0.9636370827966338
15,0.9517073267397833
16,0.9683651563982804
17,0.9950492624698265
18,0.9729218325856772
19,0.9593433119413248
20,0.9650180068035851
21,0.9907572265313958
22,0.9870076953157402
23,0.9760068043531259
24,0.9564402712905818
25,0.9858840903066747
26,0.9889966270870633
27,0.9942862296609523
28,0.9740582928944215
29,0.9930006107242126
30,0.9963720878857018
31,0.9981368910682298
32,0.9971434367529868
33,0.9741592791369
34,0.9764056770252798
35,0.9974773609509148
36,0.9531584036668413
37,0.950402697437615
38,0.9513379357232746
39,0.9999398896251872
40,0.9998850404655676
41,0.999999467554325
42,0.9988971629963838
43,0.9562729096665101
44,0.9688541247243969
45,0.9999440751276358
46,0.9882307064132982
47,0.9988131297549302
48,0.9848391095370909
49,0.9753416275818325
50,0.9972457589995442
51,0.9999939366221572
52,0.9999999999966604
53,0.9943877143233839
54,0.9984184575506043
55,0.9997731120724946
56,0.9942802223312033
57,0.9956767858182776
58,0.9977324492461732
59,0.9983965713136589
60,0.9920197089984701
61,0.9777252338485192
62,0.995373680090033
63,0.9724966877709257
64,0.9851286130873822
65,0.9689745625495709
66,0.9997636891438251
67,0.984129498590165
68,0.9879001501883324
69,0.9998954187300806
70,0.9943248253033439
71,0.9999999990986552
72,0.9999788903560255
73,0.999995975337519
74,0.9973779119614958
75,0.9734442849830762
76,0.9851996114004016
77,0.9756288817314703
78,0.9655546655253786
79,0.9932200085314927
80,0.9765630099409974
81,1.0
82,1.0
83,0.9847180721820025
84,0.9989418368401147
85,0.9999796731489907
86,0.9784855694054831
87,0.9671174183185209
88,0.9790785803216918
89,0.984543439858538
90,0.9779700670551003
91,0.9671135858940553
92,0.9421721320871047
93,1.0
94,0.9975566514284196
95,0.9889966241129213
96,0.9976591072706825
97,0.9960869867010559
98,0.9978058518636985
99,0.9997950122254966
100,0.9968321485262198
101,0.9999606809703662
102,0.9748551870894806
103,0.9965378371192409
104,0.9980196672568603
105,0.9999862802437294
106,0.9999648217091834
107,0.9997193053673771
108,0.9941012709894408
109,0.9777252616009046
110,0.9999912044763863
111,0.9887810287551951
112,0.9917295647024332
113,0.9659519293768969
114,0.9762858676431185
115,0.998703176547601
116,0.9998364928679503
117,0.986050292862713
118,0.9995350756156816
119,0.9962926737509182
120,0.9920200647376993
121,0.9996692605760119
122,0.9850234444333243
whole GM,293.87034307241066
