Tract index,P_i
1,1.8538821649229466e-24
2,2.814156696442357e-09
3,3.555845615695568e-16
4,4.044530146237454e-24
5,5.445064207192259e-11
6,2.562434963038682e-38
7,6.88949249741721e-24
8,2.814156696442367e-09
9,3.3080290833554223e-10
10,8.251780549817461e-10
11,3.5706957605468667e-12
12,1.1001635838612431e-52
13,2.814156696442337e-09
14,5.4450642071923366e-11
15,2.814156696442367e-09
16,5.445064207192259e-11
17,1.7176888230999845e-16
18,3.9872100389196244e-11
19,3.5706957605469172e-12
20,3.987210038919681e-11
21,1.1699393501958538e-16
22,8.251780549817433e-10
23,8.251780549817461e-10
24,8.251780549817461e-10
25,8.251780549817461e-10
26,3.0130142335484865e-15
27,3.0130142335484865e-15
28,8.251780549817374e-10
29,2.3697555889556648e-20
30,8.987292310574466e-20
31,2.016795320948689e-14
32,8.987292310574466e-20
33,1.2125922911557917e-09
34,8.639532427470523e-10
35,6.96406207719115e-24
36,8.25178054981752e-10
37,3.3080290833554104e-10
38,8.25178054981749e-10
39,1.7854816346895602e-39
40,3.716902465774165e-34
41,1.38022289465226e-48
42,6.067243355329075e-25
43,5.47664869439402e-12
44,2.814156696442337e-09
45,9.974843011313386e-46
46,1.5753841525012556e-14
47,1.7755007780585093e-26
48,7.371993132087255e-14
49,8.251780549817374e-10
50,1.6349234473244576e-21
51,4.1662640437125223e-45
52,1.9400354029568375e-142
53,2.539603791262181e-19
54,1.9624029691576058e-15
55,6.672391860273194e-35
56,9.921830312313851e-14
57,1.5753841525012667e-14
58,8.728804255963248e-23
59,4.530165267533846e-27
60,1.6127873745845277e-14
61,8.251780549817374e-10
62,3.013014233548508e-15
63,3.9872100389196244e-11
64,5.772689151501991e-13
65,2.7890501952499264e-10
66,1.0336847206614783e-34
67,1.543467829255478e-14
68,1.212592291155796e-09
69,1.4997646910126873e-29
70,2.590171603128255e-22
71,1.9731259399667744e-128
72,1.010140513684408e-58
73,5.51304099946838e-42
74,1.9044265033728042e-22
75,2.814156696442337e-09
76,4.336483216153923e-13
77,1.2125922911557917e-09
78,3.9872100389196386e-11
79,4.7741080310716046e-15
80,3.9872100389196244e-11
81,0.0
82,5.839707000313262e-245
83,1.0345142024434824e-15
84,2.9547747577295553e-31
85,4.079693752118129e-65
86,9.27981818001293e-14
87,3.9872100389196244e-11
88,2.814156696442337e-09
89,2.814156696442357e-09
90,2.1234860419757696e-13
91,2.5234398538054366e-09
92,1.5079704096012124e-09
93,2.1146873030894365e-261
94,8.004692096264066e-22
95,1.5753841525012667e-14
96,1.8833379234879634e-15
97,1.9978231054413263e-18
98,1.136034209631543e-18
99,1.1099370951078615e-26
100,2.00545456876891e-21
101,5.93959385072842e-42
102,2.860607745641993e-09
103,3.049661996107062e-22
104,1.9287819470530538e-22
105,2.2073828045696524e-36
106,4.491401193990101e-44
107,1.168574734468641e-34
108,6.414941754521081e-18
109,2.814156696442337e-09
110,8.865166489609559e-57
111,6.757877816103514e-13
112,6.4149417545212635e-18
113,2.814156696442337e-09
114,7.413282338788668e-08
115,1.40266257350588e-20
116,8.024763191924523e-24
117,2.814156696442347e-09
118,1.853871814325895e-28
119,1.2911566650778625e-20
120,1.5753841525012556e-14
121,3.540774855032395e-23
122,1.5753841525012834e-14
whole GM,59767.59240941589
