Tract index,P_i
1,0.5505607809279502
2,0.5499506005689945
3,0.5501091136065213
4,0.5502721231793409
5,0.5500287322946673
6,0.5506906855797209
7,0.5494448529224318
8,0.5499863681223948
9,0.5499448567149755
10,0.5499797826743822
11,0.5500198849677622
12,0.5508812646393896
13,0.5500606632089335
14,0.5500226182577824
15,0.5499870275332541
16,0.550052588145008
17,0.5503241500293222
18,0.550081239496036
19,0.5500088023600037
20,0.5500340243568671
21,0.5502164986396951
22,0.55017612473055
23,0.550082961961537
24,0.5499925919272841
25,0.5501777247142644
26,0.5502087209302433
27,0.550306566376395
28,0.5500860857010249
29,0.5502609218627462
30,0.5503662594145626
31,0.5504654955817563
32,0.5503830352617672
33,0.5500905759645343
34,0.5501024830934997
35,0.5504009497291142
36,0.5499858539322233
37,0.5499558683441688
38,0.5499747618947195
39,0.5508926359993818
40,0.5508069318639278
41,0.5514615609526036
42,0.5504890976126016
43,0.5499991978548979
44,0.550058843191635
45,0.5509013426242415
46,0.5501948677132952
47,0.5505049724701954
48,0.5501536376765045
49,0.5500868859688325
50,0.5503695491318853
51,0.5511777006741985
52,0.552127483135911
53,0.5502948248198575
54,0.5505023386654146
55,0.5507268956182217
56,0.5503010961064966
57,0.5503571369763585
58,0.5504260044358282
59,0.5504638278986704
60,0.5502626693444866
61,0.5501127446968044
62,0.5503407017668623
63,0.5500768616501411
64,0.5501718384754617
65,0.5500545910350139
66,0.55072803110805
67,0.5501455659786612
68,0.5502168025610206
69,0.5508610564793535
70,0.5502708831496095
71,0.552268085974293
72,0.5509734227867017
73,0.551287654149938
74,0.5503934294501689
75,0.5500844734691634
76,0.5501611694626733
77,0.5500952070090059
78,0.5500383022475226
79,0.5502763054318951
80,0.5501014094140958
81,0.5667902720797633
82,0.5548864997270346
83,0.550151903234496
84,0.5504904840354401
85,0.55094571374525
86,0.5500910700590479
87,0.5500483125850417
88,0.5501237044697926
89,0.5501729703909382
90,0.550080225215458
91,0.5500080551240708
92,0.5499524676018807
93,0.5551381647033166
94,0.5504093782237718
95,0.5502164092552425
96,0.5504274758917719
97,0.5503551054173333
98,0.550422055469804
99,0.550748375526123
100,0.5503663584404904
101,0.5509493733247723
102,0.550087890753159
103,0.5503664998653643
104,0.550436302096002
105,0.5511164681741105
106,0.5509372085705
107,0.5506880598555778
108,0.5502908700045188
109,0.5501041629600559
110,0.5510578335263019
111,0.550195272453609
112,0.5502271830984782
113,0.5500420953226796
114,0.5500645035011672
115,0.5504743195236238
116,0.5507813065584692
117,0.5501836108831637
118,0.5506299341277252
119,0.5503401182501958
120,0.5502530930676833
121,0.5506921456086687
122,0.5501500161583978
whole GM,85.18277682799749
