Tract,probability
V0,0.0
V1,0.0
V2,0.0
V3,0.0
V4,0.0
V5,0.0
V6,0.5111795139966111
V7,0.5880831163521346
V8,1.0384966367580215
V9,0.860944039192355
V10,0.0
V11,1.1676379680329392
V12,0.0
V13,1.1678626977096398
V14,0.0
V15,0.0
V16,1.1678476829950546
V17,0.0
V18,0.0
V19,0.0
V20,0.0
V21,1.1125283184479666
V22,0.0
V23,1.071314008512416
V24,1.1451109336472058
V25,0.0
V26,1.1679221508038087
V27,0.0
V28,0.0
V29,1.1678525478141917
V30,0.0
V31,0.0
V32,0.0
V33,0.0
V34,1.1619534756492724
V35,1.1679379710382556
V36,1.1482160128562238
V37,0.0
V38,0.0
V39,1.164627371566389
V40,0.0
V41,0.0
V42,0.0
V43,0.9753155677663659
V44,1.1672426838047634
V45,1.167911590443082
V46,1.1678766860057577
V47,0.9276717091121947
V48,1.0938388214906107
V49,0.0
V50,0.8546811011913965
V51,0.4717356982620645
V52,0.7581916868466742
V53,0.0
V54,1.1678251389652727
V55,0.0
V56,0.0
V57,0.0
V58,1.0490325554640956
V59,1.1678894919120968
V60,0.0
V61,0.0
V62,0.9712066899778129
V63,0.0
V64,0.0
V65,1.1174835521497541
V66,1.1679187740603336
V67,1.1664777297589266
V68,1.1383680819654138
V69,1.1679295842724724
V70,0.0
V71,1.167923361768938
V72,1.1389812396912955
V73,1.1678331746710717
V74,0.7476622634511779
V75,1.1678708860691749
V76,0.0
V77,0.0
V78,0.8397960098504842
V79,0.0
V80,0.0
V81,1.1652307125440533
V82,1.1679233564070548
V83,0.0
V84,1.1085530790297244
V85,0.0
V86,1.0996348583646043
V87,0.0
V88,0.0
V89,1.0009169086458725
V90,0.9895970336813555
V91,0.0
V92,1.1513027173352413
V93,1.1679172480200366
V94,1.1677319672934403
V95,0.0
V96,0.0
V97,0.0
V98,0.0
V99,1.1679233116624796
V100,0.4512813656608275
V101,0.40836022073635636
V102,0.0
V103,0.0
V104,0.0
V105,1.167817086081551
V106,0.0
V107,0.37010179807694676
V108,1.1679078400318326
V109,1.167870405665832
V110,0.4678391263424576
V111,1.135955940147442
V112,0.0
V113,1.1677239041493508
V114,0.0
V115,0.0
V116,0.0
V117,0.0
V118,0.0
V119,0.0
V120,0.47459286393821876
V121,1.1678175499818833
V122,0.4553641517924905
