Tract,Z_i,time
V0,161.65394009901098,7.0592710971832275
V1,261.67437931836776,9.788209915161133
V2,260.96348650888234,7.452545881271362
V3,261.0881942324788,10.466027975082397
V4,261.54529999911546,7.062148809432983
V5,261.3136296615977,11.099898099899292
V6,261.4916340794688,7.183650016784668
V7,261.5603725301316,3.9046430587768555
V8,260.99435203791467,7.791972875595093
V9,260.93191866688454,4.704549074172974
V10,261.24430222180507,9.139987230300903
V11,261.28853940582025,4.606184005737305
V12,261.5277082608844,6.199973821640015
V13,261.1329414394176,8.90308403968811
V14,261.0951057135457,4.86482310295105
V15,261.2558911753133,7.029562950134277
V16,261.20891839331296,5.778321027755737
V17,261.3563379455729,6.572762966156006
