size,alg,BE,BE time,approx Z,alg time,error
24,MBR,144.97360288870848,3.439429759979248,133.31008464843313,0.019915103912353516,11.663518240275351
24,GBR,144.97360288870848,3.439429759979248,142.8466748382156,0.41074681282043457,2.126928050492893
