Tract,Z_i,time
V0,363.97304997280173,10.77341604232788
V1,395.28036199560165,7.940889835357666
V2,371.31197775253594,12.148643016815186
V3,395.181682280372,12.54136610031128
V4,216.85850395073703,15.559062004089355
V5,395.172678631017,21.716078996658325
V6,362.24187882873633,19.356760025024414
V7,379.7269811131196,22.750061750411987
V8,388.03426989733487,20.03470802307129
V9,395.09568290645035,12.442505359649658
V10,213.77482152838937,17.909072160720825
V11,373.6196424696454,13.28547716140747
V12,395.28038566135365,5.709622144699097
V13,395.2204719508562,7.796393871307373
V14,386.4618170535872,9.085612058639526
V15,371.78340863315645,8.12580394744873
V16,395.0094873543216,13.801682949066162
V17,364.0805883753817,12.959617137908936
V18,259.6666901740393,15.234633922576904
V19,387.17642384360965,15.762825012207031
V20,267.08814501300526,16.7609281539917
V21,395.2682647295233,21.44916296005249
V22,395.2425131648336,23.406902074813843
V23,372.44001600543857,13.815598726272583
V24,395.03042395122134,11.862470865249634
V25,394.5811704057435,17.903405904769897
V26,377.07761856121715,14.21407413482666
V27,395.2895828005461,10.212732791900635
V28,395.0623817491405,10.246807098388672
V29,395.26106792816864,12.603052854537964
V30,395.29397933085227,10.420690059661865
V31,395.26499980664255,6.693962097167969
V32,395.2856251604875,14.18056607246399
V33,395.2394604528699,5.535211086273193
V34,284.30703290247965,7.615821838378906
V35,201.73391457442224,12.04480791091919
V36,388.1950095578604,5.359757900238037
V37,394.32481054439444,12.891281843185425
V38,394.58977193559446,8.250927925109863
V39,395.2803847151852,7.977644920349121
V40,393.12201292671244,16.614840030670166
V41,395.2723732681097,8.876020908355713
V42,388.43613250320726,13.83561897277832
V43,286.5442433260631,9.81278395652771
V44,387.3791762786856,9.626782894134521
V45,268.55643006422406,9.535774230957031
V46,395.21891220373,8.193126916885376
V47,340.1822417586591,9.55282211303711
V48,147.20576693282283,14.06078314781189
V49,395.2667281453643,9.873703956604004
V50,330.47073578233244,9.517663955688477
V51,395.28115573705435,7.531563997268677
V52,395.28107522338144,11.312258005142212
V53,308.9667235672326,8.370237827301025
V54,395.2790833295124,6.577783823013306
V55,392.489327675131,9.377043962478638
V56,339.00026567693027,8.211030006408691
V57,395.2802481525874,6.828623056411743
V58,395.28042363131067,7.0744147300720215
V59,395.26903549113126,6.966878890991211
V60,181.65388716516466,11.419827938079834
V61,386.53928058609216,9.692851305007935
V62,379.7325528904471,12.164958953857422
V63,387.3003287482792,5.710482835769653
V64,395.2531376620504,4.574465990066528
V65,395.1762267945763,7.29092812538147
V66,395.2570774475872,8.316253900527954
V67,312.1289826956617,9.036480188369751
V68,395.2773994375687,5.672116041183472
V69,395.2832508354932,10.093867063522339
V70,392.31321343577747,7.198838949203491
V71,395.28040850280235,6.049462080001831
V72,394.2864325023175,6.63140606880188
V73,395.2826177644953,4.566332101821899
V74,395.26490640476976,5.87595796585083
V75,245.86887305824354,12.33428692817688
V76,395.2573319882629,7.039994955062866
V77,384.06933163629674,10.612799167633057
V78,374.55002717301704,5.488995790481567
V79,395.27902108865476,9.472419023513794
V80,377.4693311229012,8.457613229751587
V81,394.3778950691154,3.489156723022461
V82,395.2801423254857,7.0899951457977295
V83,393.56124432136335,7.615021705627441
V84,369.95365009312997,12.788181066513062
V85,395.2803846064545,5.101170063018799
V86,385.6465471564125,10.40723204612732
V87,379.9668000079426,7.907946825027466
V88,373.60451165365237,10.128180980682373
V89,332.80046307904735,8.93534517288208
V90,144.7539252840247,10.430547952651978
V91,395.17705581363157,9.895689964294434
V92,389.39147621214636,11.227699041366577
V93,395.25485302798324,8.080391883850098
V94,382.2148277936207,9.488712310791016
V95,395.1976463242821,9.40644383430481
V96,174.9743132214767,8.569545030593872
V97,395.21611035234645,13.407692909240723
V98,385.86315304940945,7.724512100219727
V99,377.5352624985287,5.659470796585083
V100,391.39869497243444,8.0918128490448
V101,395.1420961340525,11.044046878814697
V102,390.51075975855724,7.043324947357178
V103,206.05129746305175,10.672154188156128
V104,395.2704215617993,5.951709032058716
V105,395.28037127595763,7.8697919845581055
V106,395.27111845176364,6.659816026687622
V107,395.2803855347298,5.917609930038452
V108,246.35834227956468,10.071323156356812
V109,368.6633261307852,8.947773218154907
V110,395.2682151658809,5.522241115570068
V111,354.6331359833303,10.46434998512268
V112,395.19221182581373,10.228973150253296
V113,395.1536983621558,10.655013084411621
V114,395.2632237037314,7.449253797531128
V115,255.32405798685787,7.259889841079712
V116,393.8202748471895,10.801135063171387
V117,378.39335882247985,8.61221694946289
V118,395.2752973075911,8.45733094215393
V119,324.279443059253,7.315232992172241
V120,395.2754494938234,6.38165807723999
V121,177.21110943234643,8.370971918106079
V122,374.1020111082095,10.360205888748169
