Tract,probability
V0,0.049402054192330805
V1,1.0018737217330806
V2,0.9996666911059761
V3,0.9689440939116323
V4,1.0018539170745844
V5,1.001475576500209
V6,1.0018737255670471
V7,1.0018759319092356
V8,1.001024866294594
V9,0.9996498487257957
V10,0.8602031266287429
V11,0.9843157870695112
V12,1.0018532290837836
V13,1.001479002248586
V14,1.0013327111366965
V15,1.0012956562633832
V16,1.0015424023987194
V17,1.0017906774374943
V18,0.9472560214651855
V19,1.0013814836715373
V20,0.9998794650682398
V21,1.001803252831995
V22,0.9539884214603988
V23,1.0006042838238465
V24,0.988386641177076
V25,1.0018786757844036
V26,1.0014082066815277
V27,1.0018705793497023
V28,0.9914035726607857
V29,0.9798012442896434
V30,1.0019107207901343
V31,1.0018688459358802
V32,0.949335389679504
V33,1.0016733984906707
V34,0.7187253535836285
V35,0.9848902985631816
V36,0.8054968373822297
V37,0.9996419559997545
V38,0.9996497701035166
V39,1.0016722337220894
V40,1.0017805200942422
V41,1.001803017051588
V42,1.0018737512385287
V43,1.0013428688273245
V44,1.0014938731962186
V45,0.9594015299015335
V46,1.0016834968220751
V47,1.0018114807987153
V48,1.0016082005436977
V49,0.5823860538958372
V50,1.0018790134468556
V51,1.001844479119971
V52,0.8395201170581711
V53,1.00179036379135
V54,0.9710385067420009
V55,1.0017389225509634
V56,1.0018144278494956
V57,1.0018578349576126
V58,0.5988720610743831
V59,1.0018129612156859
V60,1.0018038797513311
V61,0.9069686900592112
V62,0.9710584979649262
V63,1.0015905584840803
V64,0.725884252985571
V65,1.00147342260334
V66,1.001874309581141
V67,1.001636135369595
V68,1.00184025339592
V69,1.0018740590225232
V70,1.0016968320053983
V71,1.0018737554107815
V72,1.0018709532732566
V73,1.0018498303188994
V74,0.9989926871638819
V75,1.00130594223627
V76,0.9482938889576236
V77,1.001581905047789
V78,1.0014001709425902
V79,0.9874005314958489
V80,1.001685710523531
V81,0.9995218499017726
V82,1.0018737553909678
V83,1.001507871323529
V84,1.0018718458452365
V85,1.0018734845991764
V86,1.001286749158062
V87,1.0014814914467562
V88,1.0016976559252697
V89,1.001779569295047
V90,1.0013557852835084
V91,1.0015010197060061
V92,0.9884414642494077
V93,1.0018737552684744
V94,1.0018669941075469
V95,0.9803803068083818
V96,1.0016297792624198
V97,1.001890670175823
V98,1.001873630128184
V99,1.0018779696858175
V100,1.0018433362853647
V101,1.0018694358811102
V102,0.7995587949279194
V103,1.0018537658462108
V104,1.001835495231267
V105,1.0018772419003983
V106,1.0018164764381334
V107,1.0018730921555963
V108,1.0018527599413687
V109,0.981510151575187
V110,1.0018056363375274
V111,0.9531370019132103
V112,1.001855133918706
V113,1.001379505744059
V114,1.001721871715099
V115,1.001898226086412
V116,1.001873871471342
V117,1.0017386038815141
V118,0.9978787250769643
V119,1.0017799059685666
V120,1.001774873153961
V121,1.0015423195620592
V122,0.964111331327695
