Tract,Z_i,time
V0,432.4307058684722,13.69061803817749
V1,178.08518595643085,15.949357986450195
V2,218.55939980564878,14.580432891845703
V3,435.4514719325431,19.698088884353638
V4,435.4536085460868,13.216273069381714
V5,435.39050236127906,21.930894136428833
V6,434.75767169728726,10.36302399635315
V7,435.43065287795247,11.326812028884888
V8,422.3641216581462,12.613640069961548
V9,379.07715200631833,15.69637393951416
V10,327.89920645742313,17.28609013557434
V11,413.2337790478429,15.945295810699463
V12,435.4917004228038,10.08776307106018
V13,435.4710013304146,9.182939291000366
V14,355.30583631708026,14.525082111358643
V15,435.34573880445697,15.272669315338135
V16,435.36850114144056,22.85409712791443
V17,168.69737235472712,23.0105242729187
V18,422.5313152810397,11.428739786148071
V19,376.4476924748745,17.790229082107544
V20,435.4406796769759,11.643205165863037
V21,435.4752647423231,16.851020097732544
V22,378.50440214047956,7.714881658554077
V23,430.23916225913047,14.184109926223755
V24,435.42559859807744,11.742446899414062
V25,406.3237897298441,11.356553077697754
V26,435.4072381624436,16.907281160354614
V27,435.4764820558216,7.290632963180542
V28,427.1582720427581,11.492695093154907
V29,169.44061335550015,19.91047692298889
V30,322.23880233804016,22.57827091217041
V31,435.26845881155185,11.729812860488892
V32,435.4269960300642,12.280992984771729
V33,435.43283264762465,15.297950029373169
V34,427.4339740830083,14.437893867492676
V35,425.9832851664396,10.805567979812622
V36,384.8419204978667,14.66341495513916
V37,404.4845934432318,18.2936589717865
V38,385.30286107891015,9.220704078674316
V39,252.99003289116436,16.912845134735107
V40,435.5078802808285,9.950132131576538
V41,185.09080264666602,17.924833059310913
V42,435.46495614720624,11.790771007537842
V43,368.1924862197828,13.090852737426758
V44,435.34401812744187,19.142432928085327
V45,435.47742032781946,9.149640321731567
V46,435.4686464254881,18.79441213607788
V47,435.4900411761812,9.962821960449219
V48,424.2996673076315,10.421861171722412
V49,435.43636764903107,9.38564682006836
V50,435.49085602308054,12.281912088394165
V51,435.4884705653876,8.147657871246338
V52,435.490287011465,17.180413007736206
V53,422.58182010700153,13.08495020866394
V54,426.9861349011424,9.381584882736206
V55,435.5083336881389,9.422744989395142
V56,416.7084445261083,10.153650999069214
V57,399.8182893365288,14.01808786392212
V58,149.96794139062683,13.38752269744873
V59,435.4552428553062,18.12558603286743
V60,435.39688509101813,14.807993650436401
V61,435.3739053213723,13.263322830200195
V62,435.2571250406775,13.3457670211792
V63,386.1161151296626,18.017176866531372
V64,243.7701940443149,14.894559860229492
V65,426.4760032804967,9.481747150421143
V66,435.4485866323047,12.050732851028442
V67,435.390286959922,19.289091110229492
V68,237.57729934728417,22.396766901016235
V69,435.4898276535053,15.252007246017456
