Tract,probability
V0,0.050994827523310596
V1,1.0734848071085705
V2,1.0300877844660015
V3,1.0309367391975963
V4,1.0734462945880316
V5,1.0732279629147126
V6,1.0734836682146671
V7,1.073476468786772
V8,1.0557254485780414
V9,1.0534110047922383
V10,1.0547882641437367
V11,0.601276672880057
V12,0.818582123337928
V13,1.0732029045043623
V14,1.07183145720592
V15,0.8570721201392553
V16,0.5097706677176808
V17,0.46233426594100197
V18,1.0732585222530648
V19,1.0545446192334857
V20,0.9641400528311872
V21,1.036248329849454
V22,1.0735035411793967
V23,1.0386904995133883
V24,1.0714340812666499
V25,1.0734744060732633
V26,1.0733734013407674
V27,1.0734104552208754
V28,1.041418699424802
V29,1.0668424372017538
V30,1.0734976327536834
V31,1.0734775221968686
V32,1.0734483412793276
V33,1.0733788199705914
V34,1.0367729000607229
V35,1.0734811262844475
V36,1.0596047105773707
V37,1.0377204034040561
V38,1.0357531508652533
V39,1.0707669645134434
V40,0.8652191667380078
V41,1.0734836715562663
V42,0.5675368546777013
V43,1.070846120649718
V44,1.043788537864282
V45,0.9992341705708845
V46,0.5569591568867784
V47,0.49570603275884345
V48,1.0299227003300186
V49,1.0016002827733717
V50,1.0733903423115403
V51,1.073483738753962
V52,1.0734886694490988
V53,0.9192503751983641
V54,1.0734803834894675
V55,0.5642388766211023
V56,1.018332332969111
V57,1.0734869298474652
V58,1.0734721315896256
V59,0.9684309057550488
V60,1.0688506417076578
V61,1.0476234207249369
V62,0.8543172295432239
V63,0.7997087114858048
V64,0.9467003852634434
V65,0.9646775565087602
V66,1.07342846494786
V67,1.0733247347663888
V68,1.0166940384187504
V69,1.0734515426203999
V70,0.4696688998960437
V71,1.07348333952848
V72,0.4714277519099822
V73,0.5767870448274882
V74,1.0734921340951764
V75,1.025798160434024
V76,1.0531521548604772
V77,0.45695311590918497
V78,1.0731666877516948
V79,1.0734970584666088
V80,0.9408973072272593
V81,1.070814154331582
V82,0.46761282832495826
V83,1.0536191700579745
V84,1.0734819413620478
V85,0.8192302095030665
V86,1.0731037479447831
V87,1.0731762214292846
V88,1.0733860049254726
V89,1.0727737454289175
V90,1.0731181937536154
V91,1.0731988867630309
V92,1.059465844620715
V93,0.5009163564511421
V94,1.073492976979378
V95,1.0734134741859218
V96,1.0733666600296936
V97,1.0656664575341943
V98,1.0734289104150074
V99,1.0734831540925702
V100,0.5555489220672155
V101,0.49703738859335767
V102,1.0684965581720844
V103,1.0734721109482328
V104,1.0628746821517236
V105,0.4678574750006526
V106,1.0734329196729349
V107,1.0734836541053494
V108,1.0499284228605914
V109,0.4754409646499987
V110,0.6302770342828159
V111,0.7839070748875784
V112,1.073198466175407
V113,1.0731952616009974
V114,0.8146459741537392
V115,1.0734836931096063
V116,1.07347178845611
V117,1.0212559619711439
V118,0.9573842443664571
V119,0.464095617793933
V120,1.0733347545461
V121,1.0734836766616074
V122,1.0734758233972395
