Tract,probability
V0,0.04834046116292804
V1,0.9999798562603841
V2,0.9794775906257428
V3,0.6795251136418361
V4,0.9997035923078598
V5,0.7718691041259819
V6,1.0000105775115125
V7,0.9999516825750191
V8,0.983486725221327
V9,0.9837794335590747
V10,0.5820024984848907
V11,0.9691847302023742
V12,0.367040401659974
V13,0.9944193467498315
V14,0.8833643721154214
V15,0.9996742658609354
V16,0.8224218335335005
V17,0.9324683834331217
V18,0.9999055722589013
V19,0.6838040749526105
V20,0.9511432971698184
V21,0.9999810402798415
V22,1.0000034233022101
V23,0.9887255721080453
V24,0.7267759718831476
V25,0.9586701697662344
V26,1.0000239578980223
V27,0.9999731228893554
V28,0.4788118911877877
V29,0.9999136266406777
V30,0.969664825831859
V31,0.4370372888805778
V32,1.0000040326733537
V33,0.9998977460477835
V34,0.0
V35,1.0000100629323079
V36,0.999565153966852
V37,0.9525667409732108
V38,0.9735646706419834
V39,0.9999928841707225
V40,1.000009728617678
V41,0.38637422747962263
V42,0.3807835140267477
V43,0.9993244150564274
V44,0.999730906639075
V45,0.9973808528896781
V46,0.6819675188431673
V47,0.9999037327926101
V48,0.9965909263398021
V49,0.9997237507303374
V50,1.0000207178830507
V51,0.0
V52,0.999987658503671
V53,0.9772883368234859
V54,0.4270446557574314
V55,0.3938821704728073
V56,0.4023310310482767
V57,0.9999701065104576
V58,0.9997938349100657
V59,1.0000029919899915
V60,0.9999115303106983
V61,0.9654018665297904
V62,1.00000689752523
V63,0.9998355749553034
V64,0.9769650727466813
V65,0.9718644641177596
V66,0.9999096688992576
V67,0.9784005053358652
V68,0.43739883373577837
V69,0.9999483134896605
V70,1.0000062590489684
V71,1.0000096091493065
V72,0.0
V73,1.0000141277032415
V74,1.000011512640654
V75,0.9997903381239261
V76,0.4386321938786725
V77,0.9809278695890028
V78,0.4049551508286634
V79,1.000016591314894
V80,0.9944022557545057
V81,0.9979374367908784
V82,1.0000098569941072
V83,0.8421716916759258
V84,0.3841333392105564
V85,0.9757448603682297
V86,0.0
V87,0.2997360090954587
V88,0.9998750743093315
V89,0.8792728420439638
V90,0.9998808738115321
V91,0.9999699354298767
V92,0.8906974257168065
V93,1.0000139664691357
V94,0.9999980105031993
V95,0.917328963114341
V96,1.00001772607172
V97,0.999965383423571
V98,0.9707868703059955
V99,0.9999570915070151
V100,0.9726085767217644
V101,1.0000023846539907
V102,0.9944458335238424
V103,0.40787885838386134
V104,0.9982253671390403
V105,0.8937302797198818
V106,0.40313082755012125
V107,0.9912642596270725
V108,0.9999859202871247
V109,0.999948444636001
V110,0.9998883625748944
V111,0.9736652479337886
V112,0.0
V113,0.9995683071876744
V114,0.9827482898309403
V115,0.4260707714862853
V116,0.5729845827494204
V117,0.4878473230601657
V118,0.9997471571252183
V119,0.9998329360064627
V120,0.9249884384006701
V121,1.0000327070161972
V122,0.9758498364328061
