Tract,Z_i,time,P_i
V1,114.20951933430744,10.746948003768921,1.0353905608848384
V2,113.63905062505643,11.161518335342407,1.0302188561068004
V3,113.26502395729958,12.817218542098999,1.0268280382172594
V4,113.99551644282201,7.916483640670776,1.0334504723953888
V5,113.84809063851955,7.439276933670044,1.0321139525755407
V6,113.92537585557929,6.969220399856567,1.032814598062064
V7,113.73495858377575,17.248488426208496,1.0310883299978608
V8,113.860684041612,19.388150453567505,1.0322281207356672
V9,113.68591624761095,17.111257553100586,1.0306437263234494
V10,113.40986974121819,10.31422734260559,1.0281411683164616
V11,112.6096389013178,12.575989961624146,1.0208865063321437
V12,114.33728230756799,13.855626344680786,1.036548823149802
V13,113.56153348196662,12.429404973983765,1.0295161080457829
V14,113.8838045106846,8.190534830093384,1.032437724239653
V15,113.26089237525889,11.841037273406982,1.026790582486149
V16,112.23048113978165,11.603023052215576,1.0174491714263587
V17,114.17537707125396,12.619633674621582,1.0350810369756331
V18,113.08245909242642,11.186861753463745,1.0251729578094209
V19,112.71102119773951,17.4961416721344,1.0218056089898533
V20,113.6979590595156,6.876836061477661,1.0307529029826743
V21,112.77769259869072,11.428858757019043,1.022410032680875
V22,113.98972099212526,10.376970529556274,1.0333979325109512
V23,113.9710679009349,7.727178573608398,1.033228828966322
V24,112.75659245042081,16.163407802581787,1.0222187448225661
V25,113.77485513258091,5.1694254875183105,1.0314500206019848
V26,114.03025474933887,14.695148229598999,1.0337653998627165
V27,113.7182940166791,11.660125732421875,1.030937253839116
V28,113.11458122729756,16.270314693450928,1.0254641678191898
V29,113.35702026923146,10.697880506515503,1.0276620502467793
V30,114.11247038822165,9.549763679504395,1.0345107431314082
V31,114.05628083654443,11.685715198516846,1.0340013448626295
V32,113.68934394175807,16.79860520362854,1.030674800809939
V33,111.43799402003629,22.282028913497925,1.0102647117754486
V34,112.13967170728904,23.122671604156494,1.0166259193035043
V35,113.86758657026024,9.120871782302856,1.032290697069499
V36,113.57928228919934,11.395705938339233,1.0296770136128741
V37,113.73017362121168,11.144536972045898,1.0310449509073794
V38,113.593961335323,21.327491283416748,1.0298100896111606
V39,113.60826372748144,15.282069206237793,1.0299397509732366
V40,113.57114065749595,16.019906759262085,1.0296032039281384
V41,113.84523354595022,9.395115613937378,1.032088050998377
V42,114.38837017458475,18.84006404876709,1.0370119710169257
V43,112.18709215006078,14.23659610748291,1.017055819360216
V44,113.4171100291884,5.704129457473755,1.0282068066788865
V45,113.63178334825172,14.994647741317749,1.0301529730713863
V46,113.24985561185605,11.220836162567139,1.0266905263724675
V47,114.16573769906209,8.791682481765747,1.0349936492076213
V48,112.1223980667064,22.413240671157837,1.0164693214602103
V49,112.70445411059534,17.900784015655518,1.0217460736719461
V50,114.21248347203768,11.925658226013184,1.0354174329025558
V51,114.56337201235449,10.522340536117554,1.0385984872024452
V52,114.2232322310329,10.349831342697144,1.0355148780513468
V53,113.98864068877324,16.184195280075073,1.0333881387923531
V54,113.97270761646334,8.777027606964111,1.0332436941543603
V55,114.3916896527717,10.116575002670288,1.0370420644487328
V56,113.90320093001499,9.04071593284607,1.0326135665828018
V57,113.83164590360015,6.295771360397339,1.0319648693519088
V58,114.08708235699443,16.099876165390015,1.0342805825629606
V59,114.0116949264173,7.410018682479858,1.033597141861311
V60,113.84014410214775,12.238694429397583,1.0320419115688098
V61,114.09114993348169,13.866480827331543,1.0343174580381849
V62,112.23667791166764,14.635230541229248,1.0175053495729451
V63,112.31269956637597,13.393458604812622,1.0181945399676393
V64,113.47984647842223,10.1243417263031,1.028775557232595
V65,112.75642159226358,18.251424074172974,1.0222171958717932
V66,113.78655985342996,18.88987112045288,1.031556132225215
V67,113.72435814592487,12.37518310546875,1.030992229485784
V68,113.67063739781001,7.391075372695923,1.0305052126780259
V69,114.19847782717062,11.558673858642578,1.035290461765833
V70,113.32463118450268,21.63626766204834,1.0273684201465971
V71,114.19379853397504,8.699375629425049,1.0352480406433682
V72,114.18163033137908,9.794800043106079,1.0351377272283024
V73,114.01337171451235,10.877117156982422,1.0336123431385453
V74,114.07949488243936,14.235619068145752,1.0342117967070963
V75,113.63750427806636,14.517122030258179,1.0302048373710007
V76,113.68735219309407,13.631907224655151,1.0306567441910304
V77,114.0561657360287,16.862337112426758,1.0340003013945525
V78,113.94756837736905,15.315994262695312,1.0330157890636311
V79,113.30725758602418,14.623996257781982,1.0272109161138503
V80,113.77569816785541,12.904608488082886,1.031457663316627
V81,114.23740438100842,4.393214225769043,1.0356433586753582
V82,114.31041016788468,5.496013402938843,1.0363052080821522
V83,114.16351791604703,9.002829313278198,1.0349735252950578
V84,113.92871443207392,18.855437517166138,1.0328448646336201
V85,114.23632614587453,12.084079504013062,1.035633583706629
V86,112.78846020738922,14.727274894714355,1.022507648715639
V87,114.11104007158583,12.60810375213623,1.0344977762933336
V88,113.68553626445693,10.128702640533447,1.0306402815057736
V89,113.75020003796297,17.962491989135742,1.0312265046254363
V90,113.72018816069934,7.539020299911499,1.0309544256024763
V91,114.52450269305075,14.177768230438232,1.0382461091646975
V92,111.03391560576124,14.530582904815674,1.0066014534197854
V93,114.69606076556254,10.246787786483765,1.0398014051676723
V94,113.89035129269504,7.8837950229644775,1.0324970754770744
V95,113.56503775035428,19.49840235710144,1.0295478767322508
V96,114.22129243897427,13.033554315567017,1.0354972924560366
V97,112.7778284839983,13.829280614852905,1.02241126457788
V98,113.56453346229836,11.765666961669922,1.0295433050021874
V99,114.32178287371039,8.105601072311401,1.0364083097529437
V100,114.01732677062863,9.685794591903687,1.0336481985365404
V101,114.39498647367361,10.242027044296265,1.037071952476129
V102,113.98261687750764,4.863909006118774,1.0333335286568643
V103,113.34162874106863,15.258071422576904,1.0275225150918266
V104,113.66689493316377,11.241233825683594,1.0304712845729804
V105,114.35520871306356,4.4031853675842285,1.0367113387715199
V106,113.79062535238504,16.37684655189514,1.0315929888661317
V107,114.24950719321026,19.440826892852783,1.0357530792799714
V108,114.38894769413275,12.088867664337158,1.037017206642574
V109,113.09263243981823,9.1205153465271,1.025265186442581
V110,114.70502179216393,10.16895318031311,1.0398826432502157
V111,113.55522394358464,8.399730205535889,1.029458907590669
V112,113.44489552781738,15.58559799194336,1.0284587019952982
V113,112.86690620176154,10.246755123138428,1.0232188174744756
V114,112.06507594623075,20.54423499107361,1.0159496556493715
V115,114.49613799294772,10.028654098510742,1.0379889629747812
V116,114.27785853133783,10.861551523208618,1.0360101043340721
V117,113.4089200178251,12.725889205932617,1.0281325583981082
V118,113.79782771615068,8.044257879257202,1.0316582834186565
V119,112.46043539139723,11.541757345199585,1.0195338703459047
V120,113.93944275210634,9.959432125091553,1.0329421244886696
V121,113.98128658810643,19.337243795394897,1.0333214686368477
V122,112.80291095489399,20.695319652557373,1.0226386550244946
whole GM,110.30573741825953,21.95813298225403,N/A
