Tract index,P
66,[0.99250855 0.00749145]
67,[0.88681991 0.11318009]
68,[0.90750872 0.09249128]
69,[0.98937587 0.01062413]
70,[0.96573371 0.03426629]
71,[0.99564802 0.00435198]
72,[0.98498036 0.01501964]
73,[0.99799987 0.00200013]
74,[0.98714674 0.01285326]
75,[0.87996592 0.12003408]
76,[0.91632792 0.08367208]
77,[0.92697781 0.07302219]
78,[0.92417599 0.07582401]
79,[0.97726499 0.02273501]
80,[0.94823606 0.05176394]
82,[9.99151181e-01 8.48818641e-04]
83,[0.9343195 0.0656805]
84,[0.98023139 0.01976861]
85,[0.95609996 0.04390004]
86,[0.93903893 0.06096107]
87,[0.92584809 0.07415191]
88,[0.88192955 0.11807045]
89,[0.93818626 0.06181374]
90,[0.78189198 0.21810802]
91,[0.71746849 0.28253151]
92,[0.84424274 0.15575726]
93,[0.99495181 0.00504819]
94,[0.95770341 0.04229659]
95,[0.94709111 0.05290889]
whole GM,30.844204676002814
