Tract index,P
66,[9.99985441e-01 1.45590587e-05]
67,[0.99010094 0.00989906]
68,[0.99504745 0.00495255]
69,[9.99977296e-01 2.27037775e-05]
70,[9.99474948e-01 5.25051834e-04]
71,[9.99995598e-01 4.40162512e-06]
72,[9.99923976e-01 7.60244099e-05]
73,[9.99999581e-01 4.19011574e-07]
74,[9.99944893e-01 5.51067536e-05]
75,[0.98905561 0.01094439]
76,[0.99548658 0.00451342]
77,[0.99701286 0.00298714]
78,[0.99673961 0.00326039]
79,[9.99778435e-01 2.21564657e-04]
80,[0.99854401 0.00145599]
82,[9.99999915e-01 8.49926061e-08]
83,[0.99739586 0.00260414]
84,[9.99859234e-01 1.40766104e-04]
85,[9.99116878e-01 8.83121796e-04]
86,[0.99793739 0.00206261]
87,[0.99683494 0.00316506]
88,[0.99004226 0.00995774]
89,[0.99812245 0.00187755]
90,[0.95915669 0.04084331]
91,[0.9161262 0.0838738]
92,[0.98054964 0.01945036]
93,[9.99996133e-01 3.86662032e-06]
94,[9.99198403e-01 8.01596672e-04]
95,[0.9985876 0.0014124]
whole GM,61.11805586162358
