Tract index,P
66,[1.00000000e+00 3.33036037e-24]
67,[1.00000000e+00 6.11008927e-11]
68,[1.00000000e+00 1.22608534e-11]
69,[1.00000000e+00 1.34859053e-20]
70,[1.00000000e+00 3.78792951e-17]
71,[1.00000000e+00 4.19255159e-27]
72,[1.00000000e+00 3.59923745e-21]
73,[1.00000000e+00 1.12685262e-26]
74,[1.00000000e+00 6.67918764e-22]
75,[1.00000000e+00 9.27060821e-11]
76,[1.00000000e+00 1.10649883e-12]
77,[1.00000000e+00 1.41446963e-13]
78,[1.00000000e+00 1.85179058e-13]
79,[1.00000000e+00 6.52190011e-19]
80,[1.00000000e+00 3.99311398e-15]
82,[1.00000000e+00 1.00635276e-33]
83,[1.00000000e+00 7.05923309e-14]
84,[1.00000000e+00 7.23788657e-20]
85,[1.00000000e+00 2.79097351e-16]
86,[1.0000000e+00 2.0512192e-14]
87,[1.00000000e+00 1.63114643e-13]
88,[1.00000000e+00 6.33300056e-11]
89,[1.00000000e+00 1.98898768e-14]
90,[9.99999950e-01 5.03954474e-08]
91,[9.99997439e-01 2.56075676e-06]
92,[9.99999999e-01 1.30757356e-09]
93,[1.0000000e+00 1.2466403e-27]
94,[1.00000000e+00 3.62609935e-16]
95,[1.00000000e+00 4.85317611e-15]
whole GM,317.8638990199783
