Tract index,P
66,[1.00000000e+00 2.36328767e-70]
67,[1.00000000e+00 2.21200672e-16]
68,[1.00000000e+00 2.65990622e-76]
69,[1. 0.]
70,[1.00000000e+00 6.48104037e-23]
71,[1.00000000e+00 8.51807492e-42]
72,[1.00000000e+00 1.38249638e-30]
73,[1. 0.]
74,[1.00000000e+00 4.54792702e-37]
75,[1.00000000e+00 1.06534256e-15]
76,[1.00000000e+00 3.94964673e-18]
77,[1.0000000e+00 3.0658098e-20]
78,[1.00000000e+00 5.56249922e-16]
79,[1.0000e+00 8.3085e-36]
80,[1.00000000e+00 4.14274323e-21]
82,[1.00000000e+00 3.08932003e-84]
83,[1.00000000e+00 1.57960061e-18]
84,[1.00000000e+00 1.29272595e-28]
85,[1.00000000e+00 1.41814822e-18]
86,[1.0000000e+00 1.0691467e-16]
87,[1.00000000e+00 9.50532896e-17]
88,[1.0000000e+00 2.5305593e-20]
89,[1.00000000e+00 1.94123664e-34]
90,[9.99999990e-01 9.70768696e-09]
91,[9.99998777e-01 1.22331232e-06]
92,[1.00000000e+00 3.55223914e-10]
93,[1.00000000e+00 3.04598904e-38]
94,[1.0000000e+00 2.6186821e-31]
95,[1.00000000e+00 5.04919238e-30]
whole GM,317.4142560032662
