Tract index,P
66,[0.99321662 0.00678338]
67,[0.8885864 0.1114136]
68,[0.91066735 0.08933265]
69,[0.99080312 0.00919688]
70,[0.9673751 0.0326249]
71,[0.99616968 0.00383032]
72,[0.98606425 0.01393575]
73,[0.99837771 0.00162229]
74,[0.98806546 0.01193454]
75,[0.88140823 0.11859177]
76,[0.91784992 0.08215008]
77,[0.92879213 0.07120787]
78,[0.92626839 0.07373161]
79,[0.97828423 0.02171577]
80,[0.94964622 0.05035378]
82,[9.99318491e-01 6.81509367e-04]
83,[0.93568696 0.06431304]
84,[0.98152487 0.01847513]
85,[0.95776698 0.04223302]
86,[0.94087503 0.05912497]
87,[0.92779634 0.07220366]
88,[0.88369051 0.11630949]
89,[0.94021893 0.05978107]
90,[0.78459664 0.21540336]
91,[0.71978722 0.28021278]
92,[0.84591 0.15409]
93,[0.99576312 0.00423688]
94,[0.95966124 0.04033876]
95,[0.94888879 0.05111121]
whole GM,30.82639762717876
