Tract index,P
66,[9.99979682e-01 2.03177688e-05]
67,[0.98954688 0.01045312]
68,[0.99338667 0.00661333]
69,[9.9994707e-01 5.2930260e-05]
70,[9.99428471e-01 5.71528619e-04]
71,[9.99994544e-01 5.45599632e-06]
72,[9.99912777e-01 8.72231358e-05]
73,[9.99998515e-01 1.48545580e-06]
74,[9.99935039e-01 6.49608713e-05]
75,[0.98855037 0.01144963]
76,[0.99520358 0.00479642]
77,[0.9968053 0.0031947]
78,[0.99661396 0.00338604]
79,[9.99740673e-01 2.59327139e-04]
80,[0.9984378 0.0015622]
82,[9.99999857e-01 1.43320234e-07]
83,[0.99724944 0.00275056]
84,[9.99840284e-01 1.59715993e-04]
85,[9.99074711e-01 9.25289232e-04]
86,[0.99786555 0.00213445]
87,[0.99669594 0.00330406]
88,[0.98921626 0.01078374]
89,[0.99780786 0.00219214]
90,[0.95781897 0.04218103]
91,[0.91481244 0.08518756]
92,[0.98032087 0.01967913]
93,[9.99995217e-01 4.78274537e-06]
94,[9.99049822e-01 9.50178412e-04]
95,[0.9984003 0.0015997]
whole GM,61.119798477911715
