Tract index,P
66,[0.46355817 0.53644183]
67,[0.46064372 0.53935628]
68,[0.47230318 0.52769682]
69,[0.47526391 0.52473609]
70,[0.45232263 0.54767737]
71,[0.45248746 0.54751254]
72,[0.45221279 0.54778721]
73,[0.47387929 0.52612071]
74,[0.45851772 0.54148228]
75,[0.46033619 0.53966381]
76,[0.45876125 0.54123875]
77,[0.45996181 0.54003819]
78,[0.45451729 0.54548271]
79,[0.46102744 0.53897256]
80,[0.45825175 0.54174825]
82,[0.45308097 0.54691903]
83,[0.45754884 0.54245116]
84,[0.45282325 0.54717675]
85,[0.44873925 0.55126075]
86,[0.45337208 0.54662792]
87,[0.45613207 0.54386793]
88,[0.46300096 0.53699904]
89,[0.46477148 0.53522852]
90,[0.45304371 0.54695629]
91,[0.45065841 0.54934159]
92,[0.45213851 0.54786149]
93,[0.44629822 0.55370178]
94,[0.46095289 0.53904711]
95,[0.46295677 0.53704323]
96,[0.47188274 0.52811726]
whole GM,20.896470790416927
