Tract index,P
66,[0.51288409 0.48711591]
67,[0.49097042 0.50902958]
68,[0.52241216 0.47758784]
69,[0.53952509 0.46047491]
70,[0.47695094 0.52304906]
71,[0.48935716 0.51064284]
72,[0.48150752 0.51849248]
73,[0.54188892 0.45811108]
74,[0.49475032 0.50524968]
75,[0.48765868 0.51234132]
76,[0.48518121 0.51481879]
77,[0.48913785 0.51086215]
78,[0.47453472 0.52546528]
79,[0.50060671 0.49939329]
80,[0.48891414 0.51108586]
82,[0.49871248 0.50128752]
83,[0.48520225 0.51479775]
84,[0.47903154 0.52096846]
85,[0.46479245 0.53520755]
86,[0.47332441 0.52667559]
87,[0.4792601 0.5207399]
88,[0.49480164 0.50519836]
89,[0.50302008 0.49697992]
90,[0.46442471 0.53557529]
91,[0.45682798 0.54317202]
92,[0.46560176 0.53439824]
93,[0.47121175 0.52878825]
94,[0.49478542 0.50521458]
95,[0.49868959 0.50131041]
96,[0.52051924 0.47948076]
whole GM,20.931217129545633
