Tract index,P
66,[0.53765387 0.46234613]
67,[0.50397737 0.49602263]
68,[0.53931336 0.46068664]
69,[0.56524999 0.43475001]
70,[0.49299192 0.50700808]
71,[0.51378911 0.48621089]
72,[0.50093902 0.49906098]
73,[0.57234798 0.42765202]
74,[0.51499672 0.48500328]
75,[0.49920011 0.50079989]
76,[0.49800123 0.50199877]
77,[0.50251793 0.49748207]
78,[0.4862993 0.5137007]
79,[0.52059473 0.47940527]
80,[0.50471426 0.49528574]
82,[0.52852896 0.47147104]
83,[0.49951203 0.50048797]
84,[0.49659177 0.50340823]
85,[0.47820625 0.52179375]
86,[0.48578883 0.51421117]
87,[0.49173885 0.50826115]
88,[0.50732693 0.49267307]
89,[0.51880896 0.48119104]
90,[0.47057212 0.52942788]
91,[0.46111848 0.53888152]
92,[0.47393362 0.52606638]
93,[0.49238899 0.50761101]
94,[0.51127159 0.48872841]
95,[0.51439263 0.48560737]
96,[0.53726857 0.46273143]
whole GM,20.97723116431217
