Tract index,P
66,[0.47185746 0.52814254]
67,[0.46646698 0.53353302]
68,[0.48344137 0.51655863]
69,[0.48836479 0.51163521]
70,[0.45515309 0.54484691]
71,[0.4564996 0.5435004]
72,[0.45544764 0.54455236]
73,[0.48676528 0.51323472]
74,[0.46406212 0.53593788]
75,[0.46574074 0.53425926]
76,[0.46352085 0.53647915]
77,[0.46539297 0.53460703]
78,[0.45745268 0.54254732]
79,[0.46769506 0.53230494]
80,[0.46331748 0.53668252]
82,[0.45810857 0.54189143]
83,[0.46212709 0.53787291]
84,[0.45582718 0.54417282]
85,[0.44966507 0.55033493]
86,[0.45600247 0.54399753]
87,[0.45985387 0.54014613]
88,[0.46959291 0.53040709]
89,[0.47245044 0.52754956]
90,[0.45486593 0.54513407]
91,[0.45132446 0.54867554]
92,[0.4538914 0.5461086]
93,[0.44739423 0.55260577]
94,[0.46699893 0.53300107]
95,[0.46984071 0.53015929]
96,[0.48267859 0.51732141]
whole GM,20.88822942849951
