Tract index,P
66,[0.63289498 0.36710502]
67,[0.55067034 0.44932966]
68,[0.5900244 0.4099756]
69,[0.65342399 0.34657601]
70,[0.56164411 0.43835589]
71,[0.61678446 0.38321554]
72,[0.58422047 0.41577953]
73,[0.68319432 0.31680568]
74,[0.59855087 0.40144913]
75,[0.54145217 0.45854783]
76,[0.54899804 0.45100196]
77,[0.5537359 0.4462641]
78,[0.53704388 0.46295612]
79,[0.59878527 0.40121473]
80,[0.56755575 0.43244425]
82,[0.65154476 0.34845524]
83,[0.5569395 0.4430605]
84,[0.5737305 0.4262695]
85,[0.54090661 0.45909339]
86,[0.54029603 0.45970397]
87,[0.54357051 0.45642949]
88,[0.55110288 0.44889712]
89,[0.5753647 0.4246353]
90,[0.49629246 0.50370754]
91,[0.48064515 0.51935485]
92,[0.50986311 0.49013689]
93,[0.58882728 0.41117272]
94,[0.57640707 0.42359293]
95,[0.57295652 0.42704348]
96,[0.58927891 0.41072109]
whole GM,21.174514310076926
