Tract index,P
66,[0.71559098 0.28440902]
67,[0.59213827 0.40786173]
68,[0.63011313 0.36988687]
69,[0.72589003 0.27410997]
70,[0.62709585 0.37290415]
71,[0.70985765 0.29014235]
72,[0.66234778 0.33765222]
73,[0.7734842 0.2265158]
74,[0.67573783 0.32426217]
75,[0.58013269 0.41986731]
76,[0.59720355 0.40279645]
77,[0.60139262 0.39860738]
78,[0.58700103 0.41299897]
79,[0.66924726 0.33075274]
80,[0.62579216 0.37420784]
82,[0.75760369 0.24239631]
83,[0.61073687 0.38926313]
84,[0.64763026 0.35236974]
85,[0.60372682 0.39627318]
86,[0.59416705 0.40583295]
87,[0.59365745 0.40634255]
88,[0.58992867 0.41007133]
89,[0.6255934 0.3744066]
90,[0.52193897 0.47806103]
91,[0.50075489 0.49924511]
92,[0.54540117 0.45459883]
93,[0.68074221 0.31925779]
94,[0.63677365 0.36322635]
95,[0.62617822 0.37382178]
96,[0.63138047 0.36861953]
whole GM,21.39288664830423
