Tract index,P
66,[0.57478515 0.42521485]
67,[0.52246282 0.47753718]
68,[0.56069288 0.43930712]
69,[0.60088154 0.39911846]
70,[0.51877391 0.48122609]
71,[0.55287865 0.44712135]
72,[0.53226114 0.46773886]
73,[0.61647476 0.38352524]
74,[0.54672781 0.45327219]
75,[0.5157563 0.4842437]
76,[0.51747511 0.48252489]
77,[0.52231777 0.47768223]
78,[0.50520141 0.49479859]
79,[0.55079888 0.44920112]
80,[0.52880424 0.47119576]
82,[0.57574531 0.42425469]
83,[0.52144073 0.47855927]
84,[0.52532668 0.47467332]
85,[0.50110311 0.49889689]
86,[0.50602282 0.49397718]
87,[0.5112715 0.4887285]
88,[0.52475881 0.47524119]
89,[0.54118108 0.45881892]
90,[0.48021076 0.51978924]
91,[0.46826391 0.53173609]
92,[0.48732826 0.51267174]
93,[0.5280769 0.4719231]
94,[0.53625335 0.46374665]
95,[0.53724952 0.46275048]
96,[0.5589043 0.4410957]
whole GM,21.051220206756497
