Tract index,P
66,[0.48213042 0.51786958]
67,[0.47315325 0.52684675]
68,[0.49525094 0.50474906]
69,[0.502848 0.497152]
70,[0.45966796 0.54033204]
71,[0.46317465 0.53682535]
72,[0.46076054 0.53923946]
73,[0.50156057 0.49843943]
74,[0.4712875 0.5287125]
75,[0.47180838 0.52819162]
76,[0.46912036 0.53087964]
77,[0.47169817 0.52830183]
78,[0.4613586 0.5386414]
79,[0.47592803 0.52407197]
80,[0.469646 0.530354]
82,[0.46642591 0.53357409]
83,[0.46782931 0.53217069]
84,[0.46056927 0.53943073]
85,[0.45212826 0.54787174]
86,[0.45977041 0.54022959]
87,[0.46454772 0.53545228]
88,[0.47680366 0.52319634]
89,[0.48100199 0.51899801]
90,[0.45717481 0.54282519]
91,[0.45241827 0.54758173]
92,[0.45644099 0.54355901]
93,[0.45112956 0.54887044]
94,[0.4741539 0.5258461]
95,[0.47767448 0.52232552]
96,[0.49409431 0.50590569]
whole GM,20.89020135965469
