Tract,Z_i,time,P_i
V1,194.96413073059242,23.943485736846924,1.0008932342958934
V2,194.7227117856128,15.46475887298584,0.9996538545815045
V3,194.88966424313497,12.106527090072632,1.0005109434447577
V4,194.9371523680537,10.378008842468262,1.0007547346629804
V5,194.75283883352793,7.757270574569702,0.9998085187154381
V6,194.9987620471936,14.395915269851685,1.0010710221297425
V7,194.6489771865725,13.45313572883606,0.9992753210479955
V8,194.84337777023433,15.410258531570435,1.0002733211837187
V9,194.8086511295021,9.101998567581177,1.0000950439815048
V10,194.7345369635942,14.698125839233398,0.9997145618541272
V11,194.87422602636687,8.935019731521606,1.0004316878060158
V12,194.90492151347524,13.40086817741394,1.000589270153369
V13,194.84083836543877,15.55286192893982,1.0002602845647803
V14,194.66375214645993,10.62062120437622,0.999351171704898
V15,194.76823005163226,12.452858209609985,0.9998875330757231
V16,194.86112022316502,9.90219235420227,1.0003644061490997
V17,194.9567099867745,7.232306241989136,1.0008551381996886
V18,194.83782134234056,10.613279581069946,1.0002447959823657
V19,194.75981632034453,9.707910537719727,0.9998443392498151
V20,194.82443051496656,7.404460906982422,1.0001760510882662
V21,194.87954613897108,16.03138542175293,1.0004589998284443
V22,194.9487843732003,12.28015947341919,1.0008144502383989
V23,194.75251612082664,13.941765069961548,0.9998068619955167
V24,194.70043562441253,13.895558834075928,0.9995394947813306
V25,194.92497529425884,7.555088758468628,1.0006922208522135
V26,194.8882828668869,12.00136923789978,1.0005038518318772
V27,194.87207602495585,17.169054985046387,1.0004206502789694
V28,194.84342632472612,10.147284746170044,1.0002735704493768
V29,195.0248564325527,11.83716607093811,1.0012049836623647
V30,195.10972367615076,12.795791864395142,1.0016406691887862
V31,195.00919788000027,11.16516375541687,1.001124596879166
V32,195.02834783589657,21.438654899597168,1.0012229075849446
V33,194.8395926834005,21.631545305252075,1.0002538895693547
V34,194.77595750256938,24.015680074691772,0.9999272037235101
V35,195.0155873625297,20.88510823249817,1.001157398758211
V36,194.74612645416767,11.579436779022217,0.9997740591712002
V37,194.73504025356766,13.552780151367188,0.9997171456090336
V38,194.71650608834136,9.476995944976807,0.9996219962063778
V39,195.0208752278739,11.290805339813232,1.0011845452319086
V40,194.9913906760841,14.64414381980896,1.0010331794996992
V41,195.5103442657142,12.007460117340088,1.0036973471844313
V42,195.0482319124324,18.55183982849121,1.0013249870679777
V43,194.6415853374637,15.889580488204956,0.9992373732894299
V44,194.82717241705106,14.23537015914917,1.0001901272736404
V45,194.97505627872124,4.870204925537109,1.0009493231116264
V46,194.95217938825712,7.832519292831421,1.0008318793295243
V47,195.03401451333332,18.511916875839233,1.0012519987776995
V48,194.91945386242986,14.953759670257568,1.0006638753112131
V49,194.8644261305066,10.809149742126465,1.0003813777852617
V50,194.95971185735644,8.507287740707397,1.0008705489931737
V51,194.93630874520755,12.924439907073975,1.0007504037309476
V52,194.32764620697748,8.296560525894165,0.9976256945128933
V53,195.05483052089167,9.288593530654907,1.001358862543112
V54,195.04938635981645,9.971794605255127,1.001330913689309
V55,194.98193560473243,16.53425097465515,1.000984639714918
V56,195.02219921157624,18.881434202194214,1.0011913422069474
V57,194.95337887966937,11.400185108184814,1.000838037194741
V58,194.95817853600255,9.904064655303955,1.0008626773351237
V59,194.8602502939645,5.487510442733765,1.0003599401673429
V60,194.9356790241201,15.75907015800476,1.0007471709128208
V61,194.68961722612949,14.643898963928223,0.9994839560439903
V62,194.98089116969797,14.542174100875854,1.0009792778673017
V63,194.8854095180372,13.617042779922485,1.0004891008342824
V64,194.98050722740837,21.820235013961792,1.0009773068111971
V65,194.79401638726762,4.89170503616333,1.0000199131641936
V66,195.08540775281116,20.18147611618042,1.0015158378002376
V67,194.93023323072129,12.92193055152893,1.000719213679109
V68,194.8828823095964,9.44244647026062,1.0004761268281381
V69,194.94895842310186,13.138252973556519,1.0008153437636245
V70,194.9333685363665,7.418633460998535,1.0007353094922002
V71,194.90403088135326,6.787276029586792,1.0005846978884
V72,194.98115078201843,12.731143236160278,1.0009806106468961
V73,195.02498305717515,13.766388416290283,1.0012056337190056
V74,194.9842618274852,5.457669258117676,1.0009965819147781
V75,194.851425477201,10.633551597595215,1.0003146359395374
V76,194.97930137131837,17.238895416259766,1.0009711162714425
V77,194.853817948745,21.092995166778564,1.0003269182428136
V78,194.82684432438316,12.634200811386108,1.0001884429344223
V79,194.9291148084619,14.175869941711426,1.0007134720010458
V80,194.912346190974,15.948062658309937,1.0006273864440296
V81,194.78683691826134,4.8071630001068115,0.9999830557077616
V82,195.1400405387985,8.320841789245605,1.0017963077803336
V83,194.85927971676173,12.123279094696045,1.000354957485903
V84,194.964528223584,11.00861930847168,1.000895274917645
V85,194.6239871766702,14.68489933013916,0.9991470290809426
V86,194.89792449060613,11.508668899536133,1.0005533493261702
V87,194.83834833781896,16.4066059589386,1.0002475014349372
V88,194.8864752135898,15.378104209899902,1.0004945718276619
V89,194.8337339622683,9.834125757217407,1.000223812476092
V90,194.8103132140317,9.430022716522217,1.000103576674951
V91,194.82863321041748,19.25866436958313,1.000197626592575
V92,194.69004865274295,7.7797911167144775,0.9994861708717994
V93,195.76285340070993,11.145330429077148,1.0049936609415724
V94,195.06641719826266,13.909977436065674,1.0014183454179624
V95,194.831961669538,21.094886541366577,1.0002147140034843
V96,195.00181664820846,14.86948561668396,1.0010867036270406
V97,194.97418993094118,17.015366315841675,1.0009448755159156
V98,195.24727896728507,26.590717792510986,1.0023468409329013
V99,195.01077389144632,17.94611144065857,1.0011326876966287
V100,195.04138273182855,10.566786050796509,1.0012898252230722
V101,195.02938932644292,22.410953521728516,1.0012282543163538
V102,194.73187806761393,13.54820466041565,0.9997009117996923
V103,194.97255708151548,7.5510735511779785,1.0009364929076034
V104,195.0849385184281,11.695319652557373,1.001513428877542
V105,195.10978512965866,12.62973427772522,1.0016409846745118
V106,194.9631599825604,13.814325332641602,1.0008882507374623
V107,194.95358423846508,11.544372320175171,1.00083909145138
V108,195.11748570565956,16.86736822128296,1.0016805173536287
V109,194.8538923006209,6.817449331283569,1.0003272999452801
V110,194.98410751749205,13.578632354736328,1.0009957897289152
V111,194.93146086243985,10.206914186477661,1.0007255160090642
V112,194.85813057019126,7.883588790893555,1.000349058077518
V113,194.81047326804233,19.694792985916138,1.0001043983490494
V114,194.88803924933814,9.461509227752686,1.0005026011651244
V115,194.8613699261205,18.05956768989563,1.0003656880566885
V116,195.0239380566359,15.418323516845703,1.0012002689682402
V117,194.9329410434907,14.541285753250122,1.0007331148591387
V118,194.98195710059034,11.260039806365967,1.0009847500688518
V119,194.99646144477484,8.169511318206787,1.0010592114577634
V120,195.02146217157406,8.919755935668945,1.0011875584424732
V121,195.02536719001233,12.237601518630981,1.00120760575333
V122,194.87002398355517,14.00306487083435,1.0004101156521807
whole GM,194.79013749927628,20.53620219230652,N/A
