Tract,probability
V0,0.0065415260400261835
V1,0.9999697303544642
V2,0.9965099048922741
V3,0.9990685873203566
V4,0.999480656700784
V5,0.9985556715793449
V6,1.0005192362177748
V7,1.0003536388270184
V8,0.9985119981392482
V9,0.9961747920126948
V10,0.9984446931218334
V11,0.9978198968789748
V12,1.0006084800218171
V13,0.9978632353874064
V14,0.9985485166111627
V15,0.9983705329759113
V16,0.9976317078369543
V17,0.999065403423909
V18,0.9982841300925414
V19,0.9979890820995184
V20,0.9985584355902374
V21,0.999592198419008
V22,0.9981179003440827
V23,0.9986166055133838
V24,0.9961119254215133
V25,0.9987211595778962
V26,0.9989568273353079
V27,0.9989291593668161
V28,0.9990282170300293
V29,0.9997394742615768
V30,1.000692408045964
V31,0.9992149270478867
V32,0.999531974178046
V33,0.9990854502569813
V34,0.9980387420526494
V35,1.000965739393185
V36,0.9984489883324688
V37,0.9961855808158343
V38,0.9970927634448621
V39,0.9977430993632439
V40,1.0004711594270652
V41,1.0006251283178351
V42,1.0005758453929101
V43,0.9983102314648021
V44,0.9977698932442888
V45,1.0003684098766321
V46,0.9998963022175146
V47,1.0009604617595012
V48,0.9988564220779818
V49,0.9993750427470491
V50,0.9997688365656141
V51,1.0006184204359385
V52,1.0005185008407154
V53,1.0003453135039841
V54,1.0003844508662998
V55,1.0003812123772555
V56,0.9995539135414309
V57,1.000417876496145
V58,1.0003673072693808
V59,0.9983275157202026
V60,0.9989708512509768
V61,0.9988674791367592
V62,0.9996250434071287
V63,0.997585020287237
V64,0.9993557410571761
V65,0.9988507063382834
V66,0.999958509452548
V67,0.9982098040506161
V68,0.9990017004724014
V69,1.0004305501651212
V70,0.9999508096669235
V71,1.0005235603739833
V72,1.0004850842265647
V73,1.0005221159933306
V74,0.9996213074915196
V75,0.9934931713490833
V76,0.9997302549504804
V77,0.9989936481347935
V78,0.9986051545051268
V79,0.9997038144563942
V80,0.9993704351394082
V81,0.9995768482000389
V82,0.9999290966254296
V83,0.9981193113307744
V84,1.0003225107713083
V85,1.0006778115776933
V86,0.9982647149169859
V87,0.9980624715410791
V88,0.9986359369371591
V89,0.9983444887751349
V90,0.9989623234717088
V91,0.9985971424051125
V92,0.9953739735583204
V93,1.0003066466046628
V94,1.0001257183281076
V95,0.9990022244856758
V96,0.998568129393086
V97,0.9991060715878459
V98,1.0000607485231081
V99,1.0003816475945297
V100,0.9985301624686147
V101,1.000398913526243
V102,0.9987284237304925
V103,0.9998418521944061
V104,0.9996782812036387
V105,1.0004845157868523
V106,1.0004930954501745
V107,1.0007028493112262
V108,1.0001540284114612
V109,0.999768342379128
V110,0.998075540949792
V111,0.9992709760053585
V112,0.999604720916372
V113,0.9979211011738817
V114,0.9991759808395292
V115,0.9997765993434762
V116,1.000467116997208
V117,0.9995270694501985
V118,1.0004198192075353
V119,0.9997916462910013
V120,1.0005265769280491
V121,1.000489047018234
V122,0.9996463292071069
V123,0.9951952376582717
