Tract,Z_i,time,P_i
V0,114.8648051142508,22.342254161834717,0.04858298163431243
V1,120.12359650603538,19.480622053146362,1.0204904784893822
V2,117.52522855180905,18.59969663619995,0.9984164661052568
V3,118.90321806798093,20.48640513420105,1.0101229519382957
V4,120.77055412630128,15.684621334075928,1.0259866017380257
V5,119.70234796743236,13.3100745677948,1.0169118300370745
V6,120.0557580146577,10.917749404907227,1.0199141676184158
V7,119.03074765077511,24.204651594161987,1.011206358768865
V8,117.39993959158576,27.06549644470215,0.9973520941193474
V9,121.79874687995952,20.96619415283203,1.0347214460623655
V10,119.2227652162679,24.95538640022278,1.0128376127688088
V11,120.0792028350989,21.963324069976807,1.0201133392776571
V12,120.44582034296769,17.172973155975342,1.0232278786929736
V13,119.65283276435736,26.667243719100952,1.0164911816819784
V14,120.12059472546738,11.723774194717407,1.0204649773507446
V15,119.8846504155991,12.472894430160522,1.0184605508377385
V16,120.06739030770026,13.155536890029907,1.0200129878722062
V17,120.85091229113338,15.948445796966553,1.0266692714587573
V18,120.3778676688122,12.251489400863647,1.0226505978007876
V19,119.66962700727443,14.308983564376831,1.0166338544414428
V20,119.87229818853714,10.735970735549927,1.0183556145015689
V21,120.59235753199184,12.810730457305908,1.024472761551074
V22,118.81133373330748,15.498867988586426,1.0093423635161711
V23,121.36665955086485,26.17270803451538,1.0310507184281419
V24,120.70768025531723,16.247055292129517,1.0254524669922203
V25,119.83181078916259,16.772296905517578,1.0180116603846237
V26,120.66430296533912,16.97736120223999,1.0250839622796335
V27,119.63402160655127,17.467329740524292,1.016331374550084
V28,120.59969504060389,15.795709609985352,1.024535096162193
V29,120.51249282548308,14.350437641143799,1.0237942839252776
V30,120.29159978221207,24.228906869888306,1.0219177229998704
V31,120.27481157821452,14.474993228912354,1.0217751015430647
V32,119.79116828755458,19.829448223114014,1.0176663886218782
V33,119.02915295874462,20.392350435256958,1.0111928113220638
V34,119.00046248944614,23.651306867599487,1.0109490761060522
V35,120.27923137674944,10.903514385223389,1.0218126492227289
V36,119.91365507671492,16.72015404701233,1.0187069552192376
V37,118.94149020287752,17.765069007873535,1.0104480866361356
V38,118.70168414009503,21.92682433128357,1.0084108532292815
V39,120.07293061661767,25.636454582214355,1.020060054665597
V40,120.60886259263079,13.160920143127441,1.024612977609524
V41,121.17910205028983,22.599738359451294,1.0294573541843695
V42,121.58712782060029,10.131547451019287,1.0329236707590583
V43,117.9713134877502,17.810052633285522,1.0022061081320222
V44,119.76263146187806,27.31391143798828,1.0174239586602698
V45,120.1308553826166,18.295313835144043,1.0205521450948714
V46,120.71699061214173,23.616374731063843,1.025531561614485
V47,119.78299702445271,21.136972665786743,1.0175969709850838
V48,120.46041627170854,17.320680379867554,1.0233518760318643
V49,119.76424861449738,18.04975652694702,1.0174376969173506
V50,120.41275243751943,21.894391775131226,1.0229469556800512
V51,121.2203463919269,15.311980247497559,1.0298077387812048
V52,121.04019481383922,12.46275782585144,1.0282772903475028
V53,120.75935583358688,12.40474534034729,1.0258914684634421
V54,118.84136981420154,21.008909225463867,1.009597530156657
V55,120.09856192364433,12.06974196434021,1.0202778012660378
V56,120.68977593632209,12.368126392364502,1.0253003637619655
V57,119.54316074806839,12.872037649154663,1.015559480903489
V58,120.04977934380882,9.216057062149048,1.0198633767925267
V59,119.82871761828655,11.409915924072266,1.0179853828544867
V60,119.39008647171346,25.033448457717896,1.0142590632830923
V61,119.65855781039531,18.145800352096558,1.016539817879533
V62,120.17224014015432,12.79832935333252,1.020903722572155
V63,117.03443464218942,21.82063364982605,0.9942470062635991
V64,120.11573060115315,14.262878656387329,1.0204236549736825
V65,120.05630753003037,15.073074340820312,1.019918835936897
V66,121.10584016624354,20.42162299156189,1.02883496976299
V67,120.02338345748694,13.393961429595947,1.0196391348330263
V68,118.05861688577306,20.717010736465454,1.002947779951827
V69,121.23719587084538,13.677478313446045,1.0299508807891362
V70,119.60801658497377,23.69316792488098,1.016110453118453
V71,121.2659979961922,19.241374254226685,1.030195564560948
V72,120.59951906299042,15.560834169387817,1.024533601172997
V73,121.47553044681847,23.39999747276306,1.031975613419108
V74,120.64879011358596,20.181480169296265,1.0249521753704103
V75,119.44750427739285,10.621857643127441,1.0147468469134187
V76,117.434624183863,24.20508098602295,0.9976467514323045
V77,120.12026146716399,13.69195032119751,1.0204621462090255
V78,120.9856272152702,12.74487829208374,1.0278137201881552
V79,119.43081226637221,29.822410106658936,1.0146050426484046
V80,119.66299568022275,23.957772970199585,1.0165775190809239
V81,120.89902571920133,8.646316766738892,1.0270780112622508
V82,121.01662266135824,5.979808807373047,1.0280770369596255
V83,119.8347937141738,11.561847686767578,1.018037001338945
V84,118.88955021720798,25.306986331939697,1.0100068389348484
V85,121.16772668180275,13.580530166625977,1.0293607165913568
V86,119.44470704339916,20.07216763496399,1.0147230834669378
V87,119.76197263614968,12.994213342666626,1.017418361713439
V88,117.50429560445797,35.1166627407074,0.9982386336553483
V89,120.66236519557617,16.469451904296875,1.0250675002717509
V90,120.48506891732697,16.916022300720215,1.023561308573471
V91,120.32255594889082,11.059659719467163,1.0221807060795072
V92,118.42751648035879,27.02563762664795,1.0060817064637126
V93,121.12799516141105,6.816563844680786,1.0290231839213821
V94,120.55775799896855,16.04968285560608,1.0241788268451757
V95,120.14560888213572,11.201223850250244,1.0206774810506833
V96,119.6193489027121,11.798499345779419,1.016206724980831
V97,120.75663406611557,9.486644268035889,1.025868346130529
V98,120.15827882144347,19.182621479034424,1.0207851164595678
V99,119.65879622300946,20.146418809890747,1.0165418432751236
V100,120.01543453183359,14.446701288223267,1.0195716060278672
V101,120.30661494230117,22.50955557823181,1.0220452818505008
V102,119.28052047028751,22.665247201919556,1.0133282631366305
V103,119.47920391152797,21.773874282836914,1.0150161459999214
V104,120.31590717360751,15.36595106124878,1.022124222490374
V105,120.96672142494758,11.295308589935303,1.0276531091211065
V106,120.69035152907314,24.82051682472229,1.0253052536165739
V107,120.66464883896725,23.475491046905518,1.0250869005927923
V108,118.87668168297947,15.185344696044922,1.009897516395112
V109,119.31181914905196,21.25505256652832,1.0135941559719888
V110,121.62752945654817,16.830634355545044,1.0332668962867602
V111,119.76896595817885,17.323827266693115,1.017477772343418
V112,120.70009639445516,12.087408065795898,1.0253880395356252
V113,120.28978156012205,11.502082586288452,1.021902276589801
V114,120.39692029708418,13.275699377059937,1.022812456305755
V115,120.91683917270997,17.572619438171387,1.0272293425595425
V116,120.96386142741991,11.936699390411377,1.02762881247723
V117,120.92640583978238,13.592159032821655,1.0273106146238349
V118,120.11227850413461,11.94428300857544,1.020394328244874
V119,119.72728182093392,19.17812418937683,1.0171236515345197
V120,120.60370629703144,14.878225564956665,1.0245691731388251
V121,120.25790004023169,19.97852873802185,1.0216314323224447
V122,118.45735172956232,29.214442014694214,1.0063351669712326
whole GM,117.71162890598711,19.56705951690674,N/A
