Tract index,P_i
1,0.999246031386971
2,0.7240748180043459
3,0.9216882149634201
4,0.9757290280612618
5,0.8117181736650395
6,0.9994334050709085
7,0.9083867428029864
8,0.7644038720521819
9,0.7436188667104988
10,0.7736485650257776
11,0.8073670858464485
12,0.9997850057209793
13,0.8910229608771586
14,0.9416847349236799
15,0.7651241921898226
16,0.8349827596171453
17,0.9965588210975607
18,0.9015004922255072
19,0.793953346366885
20,0.8762895692894535
21,0.9641216720937411
22,0.9789511181525978
23,0.9097107274003526
24,0.8457307422969058
25,0.9475835690077928
26,0.9579899082819084
27,0.9775019592677014
28,0.9039614802199857
29,0.9827026403619574
30,0.9937724369024531
31,0.9994524860581688
32,0.9889666935296182
33,0.8617176535273859
34,0.8728230370210395
35,0.9849315845457614
36,0.7708316420920754
37,0.7600494538794637
38,0.8322138751931125
39,0.9996358145503162
40,0.9993043229387514
41,0.9999982653229669
42,0.9973048177610814
43,0.7833098935713991
44,0.8371860045480806
45,0.9999405891225214
46,0.9712294063983861
47,0.9967105808704947
48,0.914818202169478
49,0.8673441632007772
50,0.9835653644916081
51,0.9999703352175627
52,0.9999999999366231
53,0.9668787625233496
54,0.9961305944363117
55,0.999127119759289
56,0.9943149313945948
57,0.9933029691887979
58,0.9960581446609793
59,0.9956660518155994
60,0.9702069094310488
61,0.8788710056560122
62,0.9818682478359851
63,0.9007875824370295
64,0.9015558823533201
65,0.837729190749002
66,0.9998456509646575
67,0.9742552243516927
68,0.9310160783382382
69,0.999366614700013
70,0.9966704551363457
71,0.9999999998219735
72,0.9999958153708287
73,0.999988323201856
74,0.9969520400802916
75,0.8583438418523747
76,0.9457645697504988
77,0.8687201957265277
78,0.8658108331424198
79,0.9953396681110767
80,0.942372650963041
81,1.0
82,1.0
83,0.9141894201342466
84,0.9968681546598693
85,0.9999955831548085
86,0.917837285988727
87,0.9079380438622748
88,0.8855272457749298
89,0.9625668848332664
90,0.8729219753967096
91,0.8821886714058854
92,0.7166859021520775
93,1.0
94,0.9904001113791323
95,0.936938025395265
96,0.9976516178575161
97,0.9850593484973044
98,0.991599969614422
99,0.9992303532832582
100,0.9873712187727955
101,0.9998812912205843
102,0.9870615072402806
103,0.9857561377911939
104,0.9841166936442618
105,0.9998831029366673
106,0.9998385269637693
107,0.9992980244101509
108,0.9653471998508236
109,0.9157668570515415
110,0.9999882485250587
111,0.9660290989015019
112,0.9519727807582553
113,0.8809365415051859
114,0.8718709503227065
115,0.9948580096882219
116,0.9993637019796221
117,0.9477818275535067
118,0.9981822357447594
119,0.9779071681920686
120,0.9965016937372605
121,0.9980026715222523
122,0.9157678864766718
whole GM,214.00098552823513
