Tract,Z_i,time,P_i
V1,158.0233262297578,14.806551933288574,0.9978159349559458
V2,157.87788145300559,6.5912909507751465,0.9968975444919427
V3,158.12629629949078,11.855969667434692,0.9984661248921689
V4,158.05830057920144,18.50101947784424,0.998036775537031
V5,157.84286088919626,8.624350547790527,0.9966764120967843
V6,157.9185646620946,11.90261435508728,0.9971544328595191
V7,157.91458729766484,9.539440631866455,0.9971293183545796
V8,157.85536393609274,20.023531436920166,0.9967553608173717
V9,157.77409581710342,12.59618878364563,0.9962422047785375
V10,157.80205083903837,10.597990989685059,0.9964187228092249
V11,157.82429038682415,10.991138219833374,0.9965591512870725
V12,158.01792158109387,8.802583694458008,0.9977818080666544
V13,157.93825372001723,18.72674036026001,0.9972787566299914
V14,157.92539681419132,14.473964214324951,0.9971975735172611
V15,157.97891741848812,14.396933555603027,0.9975355218005303
V16,157.78432862820208,13.594259023666382,0.9963068184163925
V17,157.97783878126376,8.338824987411499,0.9975287108983921
V18,157.9897372828025,17.769968509674072,0.9976038423028545
V19,158.01696943204644,13.35019564628601,0.9977757958562127
V20,158.05188303495788,16.822519779205322,0.9979962528619152
V21,158.12350895445937,15.388086080551147,0.998448524596346
V22,157.97969569691338,22.175987482070923,0.997540436129529
V23,157.71601488336844,17.75305485725403,0.9958754609402665
V24,157.95282349773933,10.986884593963623,0.9973707554299581
V25,158.02282709749497,8.19281268119812,0.9978127832558937
V26,158.00331621136917,11.595144987106323,0.9976895845260231
V27,158.00286434190738,13.190284252166748,0.9976867312602411
V28,158.0104618597371,10.77971076965332,0.9977347047116135
V29,157.93013431068994,10.88948941230774,0.9972274877685993
V30,158.10474652411006,8.855940818786621,0.998330051884578
V31,157.9891108071992,11.27249026298523,0.9975998865112967
V32,157.92418055259324,10.505185604095459,0.9971898936054875
V33,157.96152144312595,9.256046056747437,0.9974256773754405
V34,158.13434649009469,14.83566927909851,0.9985169566817259
V35,158.0710999441368,18.645444869995117,0.9981175953159491
V36,157.83526483752286,5.588210344314575,0.9966284479032483
V37,158.04599247028185,16.543824672698975,0.9979590577247169
V38,157.88120411891015,8.173110961914062,0.9969185249956771
V39,158.11289966397862,11.801486253738403,0.9983815337327006
V40,157.9887051988774,14.31085205078125,0.9975973253549376
V41,158.40623479653138,12.767791032791138,1.0002337569235855
V42,157.94879206695674,9.481098651885986,0.9973452995306835
V43,157.9482282537958,8.24006724357605,0.997341739412252
V44,158.1093361508582,16.190295457839966,0.9983590324332987
V45,158.13804902224385,14.34525752067566,0.9985403357971152
V46,158.03600141733008,17.688071489334106,0.9978959706344747
V47,158.06132631345508,9.747893571853638,0.9980558811078681
V48,157.98196843333434,11.849090099334717,0.9975547870020925
V49,157.90030029760604,10.599885702133179,0.997039105114158
V50,158.07031404136265,12.120862245559692,0.9981126328440781
V51,158.09479552698366,5.3601179122924805,0.9982672177211774
V52,157.8075085771912,13.676606893539429,0.9964531849245823
V53,158.0357702024634,15.397725582122803,0.9978945106609132
V54,158.1273400654065,12.712619304656982,0.9984727156043625
V55,158.078183950145,8.863386392593384,0.9981623262695808
V56,157.91837149179085,17.978724718093872,0.9971532131129675
V57,158.11341443340783,14.000053882598877,0.9983847841714272
V58,157.98583412436855,8.952298402786255,0.9975791963611763
V59,158.05584100304563,10.00845456123352,0.9980212448913973
V60,158.1257104751586,20.99070715904236,0.9984624257873109
V61,158.07578404378614,15.62904953956604,0.9981471724004376
V62,158.0324054151623,15.404534339904785,0.9978732641875799
V63,158.16779096182003,20.70963764190674,0.9987281370664194
V64,158.01318049365702,15.1079421043396,0.9977518711408448
V65,158.2782302359076,12.116472005844116,0.9994254902367312
V66,158.09659027858612,6.662469863891602,0.998278550426234
V67,157.88953584684552,10.796276330947876,0.9969711345128793
V68,157.98971311180875,17.387128591537476,0.9976036896785344
V69,158.2487570638282,11.248902320861816,0.9992393860617579
V70,157.81988068080142,17.834208011627197,0.9965313068223158
V71,157.99442536856768,12.260416746139526,0.9976334445571072
V72,158.09110380363623,11.013497352600098,0.9982439068564374
V73,158.21177541323013,11.371246576309204,0.9990058706615437
V74,158.28018076973558,21.433172464370728,0.9994378066066094
V75,157.97156790849553,18.147875547409058,0.997489114359555
V76,158.04667960136214,14.027791261672974,0.9979633965167022
V77,157.98197185507055,18.530203580856323,0.9975548086081617
V78,158.06239668963346,21.960572481155396,0.9980626398468003
V79,157.95293853661994,14.180190324783325,0.997371481826693
V80,158.00856908372288,20.730796575546265,0.9977227530452784
V81,157.99636663126844,5.799989461898804,0.9976457023857644
V82,158.14423753220782,13.43210744857788,0.9985794122676782
V83,157.9234140264731,18.0624942779541,0.9971850534847566
