Tract,Z_i,time
V0,349.64205554947864,3.418776512145996
V1,354.71599990809005,5.256392955780029
V2,342.31028112524564,5.161073207855225
V3,354.53297006541453,5.272248029708862
V4,354.7134438661704,4.847811222076416
V5,262.20205243002084,4.602078676223755
V6,354.67662761269895,7.387021780014038
V7,354.71202293772797,6.573454856872559
V8,354.5461691506474,4.1268086433410645
V9,338.6803342888639,3.5774953365325928
V10,354.5037942774416,3.149440288543701
V11,354.5867815489553,6.198720455169678
V12,354.721831961451,4.167683839797974
V13,354.5861207763445,2.8387560844421387
V14,353.3080201201374,2.7243094444274902
V15,354.5483938308664,4.535241603851318
V16,339.1879208255953,3.2736763954162598
V17,354.70269906355867,2.6861729621887207
V18,341.43415686047217,5.08765983581543
V19,353.65737918174835,3.808647871017456
V20,354.5564165960243,4.7850377559661865
V21,159.87021565416072,5.849557638168335
V22,354.7177688987279,4.759424209594727
V23,314.22766017240343,3.1562697887420654
V24,354.0223600778225,2.435321569442749
V25,341.0767593533989,5.978857755661011
V26,354.6841960860885,4.269251585006714
V27,354.70613483391196,2.901390314102173
V28,354.62234685589834,5.225115060806274
V29,354.7034193933101,3.604595184326172
V30,354.7154156564548,2.476457118988037
V31,354.71550860729155,2.1325666904449463
V32,354.68447425067325,4.177103281021118
V33,347.52213528776934,3.4912612438201904
V34,181.51875263537565,4.094618797302246
V35,354.695339947094,2.554239273071289
V36,354.02178668712,2.9986870288848877
V37,350.10766534078465,3.6473631858825684
V38,350.1018897946096,5.949449300765991
V39,354.6890104348975,3.1714184284210205
V40,175.95056503233215,6.135351896286011
V41,354.6811035265551,3.9739530086517334
V42,354.7137307646199,4.219545125961304
V43,354.56161739981576,2.6267471313476562
V44,329.53906360542436,2.8774096965789795
V45,354.6938291254399,3.011202812194824
V46,349.430065923915,3.9784445762634277
V47,354.71615884376416,5.389198064804077
V48,312.68473967627256,5.1867241859436035
V49,354.70098219459754,2.7323315143585205
V50,354.7085505345411,5.893499135971069
V51,354.70803843170876,4.5429606437683105
V52,185.10856177974594,5.368692636489868
V53,354.71246519125464,4.4684038162231445
V54,349.4155311166836,4.235957384109497
V55,338.85763571803665,3.454146146774292
V56,343.62793691166786,4.8292858600616455
V57,0,0
V58,354.7159748883485,4.63724684715271
V59,354.6897418082037,4.345245599746704
V60,333.521386427037,4.889494895935059
V61,354.6879759400411,6.235212802886963
V62,354.6773080447429,5.089970350265503
V63,348.11560638140014,2.2148022651672363
V64,354.6477487449286,5.237557888031006
V65,335.52452103628605,5.060231447219849
V66,354.7152850184493,2.3841700553894043
V67,347.9078833761925,2.638831377029419
V68,354.72010255670887,3.5889296531677246
V69,354.6831942639398,2.537092924118042
V70,354.71265271911096,2.819568395614624
V71,354.7158779737662,5.661434173583984
V72,354.68679538772403,4.682420015335083
V73,354.7160792416674,5.114439964294434
V74,354.68790853494124,3.4440646171569824
V75,354.658229675585,5.5529375076293945
V76,354.6509080316481,2.739299774169922
V77,347.7302555503184,2.9761650562286377
V78,346.685527578724,4.758846998214722
V79,354.6725498207002,4.088828802108765
V80,353.5714638817198,4.4620630741119385
V81,353.7533754569885,1.624695062637329
V82,354.6923505713495,2.6451456546783447
V83,0,0
V84,354.67609790836076,4.669981241226196
V85,230.63980844778504,3.807081460952759
V86,354.56910083237557,2.51718807220459
V87,354.6139312179557,5.238977670669556
V88,354.68652859137103,3.893174171447754
V89,171.5639075606188,6.124253034591675
V90,347.5559099486908,3.4299063682556152
V91,353.87227520725537,2.0931851863861084
V92,339.8632091748127,4.518272876739502
V93,354.7155278441656,1.9524333477020264
V94,164.6673528020412,6.736757755279541
V95,354.70152486813583,2.7600982189178467
V96,354.71495015104574,2.5197274684906006
V97,354.71546607070394,4.166798830032349
V98,334.49530450843804,6.6685521602630615
V99,191.93536253045633,4.986109256744385
V100,296.3388552641535,5.600093126296997
V101,354.66067164746033,4.698500156402588
V102,338.743084992483,4.215008020401001
V103,345.3585816622313,2.77732253074646
V104,0,0
V105,354.7187145891038,6.3543336391448975
V106,308.96074374324627,4.026432514190674
V107,354.697112664591,3.7667059898376465
V108,340.6595177142001,5.349552631378174
V109,354.70424345859414,3.7389283180236816
V110,354.716137888094,5.878121852874756
V111,354.69924169685413,2.667447566986084
V112,153.51701662431287,5.68382453918457
V113,299.80648132629443,4.498692274093628
V114,354.6587872273054,4.876941204071045
V115,354.7240474468878,3.271575450897217
V116,354.63219837337886,4.38700008392334
V117,354.7121780431339,4.1499199867248535
V118,354.70650985191736,3.6118557453155518
V119,266.31736139418643,4.418720722198486
V120,354.7146831497125,2.4783804416656494
V121,250.12646274465652,5.830546855926514
V122,239.26733444365433,3.994168996810913
